Keyword,Year,Month,Day,Hour
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
flu,2018,12,2,15
flu,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
flu,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
flu,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
flu,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
flu,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
trump,2018,12,2,15
flu,2018,12,2,15
trump,2018,12,2,15
flu,2018,12,2,15
flu,2018,12,2,15
trump,2018,12,2,15
flu,2018,12,2,15
trump,2018,12,2,15
flu,2018,12,2,15
trump,2018,12,2,15
